Player,Pos,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,Salary 2023-2024,Signed Using,Guaranteed,Role
Iman Shumpert,SG,Brooklyn Nets,0.0,4.1,12.6,0.32799999999999996,1.6,6.5,0.242,2.6,6.1,0.419,0.8,1.4,0.5710000000000001,1.8,4.9,6.7,2.4,2.4,0.4,2.0,4.1,10.6,85.0,109.0,29.0,13.0,241.0,5.3,0.40299999999999997,0.516,0.109,3.9,10.4,7.3,6.8,2.4,0.7,13.0,13.4,-0.3,0.3,0.0,-0.001,-6.4,0.8,-5.6,-0.2,419443.0,0.0,0.0,0.0,0.0,0.0,NaN,419443.0,Third Unit
Nicolas Claxton,PF,Brooklyn Nets,0.0,6.9,12.2,0.563,0.3,1.8,0.14300000000000002,6.6,10.4,0.634,2.8,5.3,0.524,4.8,6.3,11.2,4.1,0.3,2.0,2.3,3.6,16.7,118.0,110.0,20.0,15.0,187.0,14.9,0.5770000000000001,0.146,0.43799999999999994,10.7,13.4,12.1,12.6,0.3,3.5,13.6,14.8,0.3,0.2,0.5,0.124,-0.7,0.0,-0.7,0.1,898310.0,1517981.0,1782621.0,0.0,0.0,0.0,Minimum Salary,4198912.0,Third Unit
Justin Anderson,SF,Brooklyn Nets,0.0,2.8,16.7,0.16699999999999998,0.0,8.4,0.0,2.8,8.4,0.33299999999999996,2.8,5.6,0.5,0.0,5.6,5.6,0.0,0.0,2.8,0.0,5.6,8.4,50.0,110.0,26.0,3.0,17.0,-3.8,0.218,0.5,0.33299999999999996,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,-0.1,0.0,-0.1,-0.16699999999999998,-12.8,-2.3,-15.1,-0.1,98144.0,0.0,0.0,0.0,0.0,0.0,NaN,98144.0,Third Unit
Willy Hernangómez,C,Charlotte Hornets,0.0,9.9,18.6,0.532,0.7,2.9,0.22699999999999998,9.2,15.6,0.59,4.9,7.9,0.627,5.7,12.2,17.9,3.9,1.3,0.9,4.0,4.3,25.4,110.0,110.0,25.0,31.0,375.0,19.2,0.5760000000000001,0.158,0.424,12.1,27.5,19.5,13.5,1.3,1.7,15.4,22.9,0.4,0.4,0.8,0.107,0.6,-0.5,0.1,0.2,1676735.0,0.0,0.0,0.0,0.0,0.0,Cap Space,1676735.0,Third Unit
Caleb Martin,SF,Charlotte Hornets,1.0,5.8,13.3,0.44,3.2,5.8,0.541,2.7,7.4,0.36200000000000004,2.7,3.3,0.81,1.6,4.4,6.0,3.6,1.9,1.1,2.4,5.1,17.5,113.0,113.0,24.0,18.0,317.0,12.0,0.595,0.44,0.25,3.3,10.0,6.5,11.1,1.9,2.0,13.9,15.0,0.3,0.2,0.5,0.081,-1.6,0.5,-1.0,0.1,898310.0,1517981.0,1782621.0,0.0,0.0,0.0,Minimum Salary,898310.0,Third Unit
Jalen McDaniels,PF,Charlotte Hornets,0.0,5.6,12.0,0.47100000000000003,1.5,4.1,0.375,4.1,7.9,0.522,2.4,2.9,0.8240000000000001,2.6,8.5,11.1,2.2,1.4,0.5,1.9,6.2,15.2,112.0,113.0,22.0,16.0,293.0,10.7,0.574,0.34299999999999997,0.243,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,0.2,0.2,0.5,0.078,-3.3,0.0,-3.3,-0.1,898310.0,1517981.0,1782621.0,1930681.0,0.0,0.0,Minimum Salary,898310.0,Third Unit
Michael Kidd-Gilchrist,PF,Charlotte Hornets,0.0,5.6,16.6,0.34,1.6,5.3,0.294,4.1,11.3,0.361,2.2,2.8,0.778,2.8,8.1,11.0,3.1,0.0,0.9,2.2,5.6,15.0,91.0,115.0,26.0,12.0,160.0,6.1,0.42100000000000004,0.321,0.17,5.9,18.4,11.9,9.5,0.0,1.7,10.9,17.6,-0.2,0.1,-0.1,-0.028999999999999998,-5.3,-1.6,-6.9,-0.2,13000000.0,0.0,0.0,0.0,0.0,0.0,NaN,13000000.0,Third Unit
Joe Chealey,PG,Charlotte Hornets,0.0,0.0,10.6,0.0,0.0,6.1,0.0,0.0,4.6,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.5,6.1,0.0,3.0,3.0,3.0,29.0,108.0,24.0,4.0,33.0,-2.8,0.127,0.5710000000000001,0.28600000000000003,0.0,0.0,0.0,3.9,6.1,0.0,20.2,13.2,-0.2,0.0,-0.1,-0.18899999999999997,-14.3,1.7,-12.6,-0.1,81678.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,81678.0,Third Unit
Al-Farouq Aminu,PF,Orlando Magic,2.0,3.2,11.0,0.29100000000000004,1.2,4.6,0.25,2.1,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,88.0,107.0,29.0,18.0,380.0,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.016,-4.5,1.4,-3.1,-0.1,9258000.0,9720900.0,10183800.0,0.0,0.0,0.0,MLE,29162700.0,Third Unit
James Ennis,SF,Orlando Magic,10.0,4.9,12.0,0.41200000000000003,1.8,5.8,0.303,3.2,6.2,0.514,2.6,3.0,0.882,2.3,6.3,8.6,2.3,1.1,1.1,2.1,4.2,14.3,105.0,111.0,29.0,12.0,277.0,9.4,0.537,0.485,0.25,4.9,14.4,9.5,6.6,1.1,2.0,13.7,13.7,0.1,0.3,0.3,0.06,-3.7,-1.3,-5.0,-0.2,1882867.0,2071978.0,0.0,0.0,0.0,0.0,NaN,1882867.0,Third Unit
Gary Clark,PF,Orlando Magic,1.0,3.4,9.6,0.35700000000000004,2.3,8.0,0.28600000000000003,1.1,1.6,0.7140000000000001,0.5,0.5,1.0,3.7,6.6,10.3,0.7,0.7,1.6,0.7,2.3,9.6,110.0,111.0,25.0,17.0,213.0,8.8,0.49,0.833,0.048,7.8,15.1,11.3,1.9,0.7,3.0,6.5,9.3,0.1,0.2,0.3,0.07,-2.7,-1.3,-3.9,-0.1,163356.0,0.0,0.0,0.0,0.0,0.0,NaN,718765.0,Third Unit
Gary Clark,PF,Orlando Magic,1.0,3.4,9.6,0.35700000000000004,2.3,8.0,0.28600000000000003,1.1,1.6,0.7140000000000001,0.5,0.5,1.0,3.7,6.6,10.3,0.7,0.7,1.6,0.7,2.3,9.6,110.0,111.0,25.0,17.0,213.0,8.8,0.49,0.833,0.048,7.8,15.1,11.3,1.9,0.7,3.0,6.5,9.3,0.1,0.2,0.3,0.07,-2.7,-1.3,-3.9,-0.1,555409.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,718765.0,Third Unit
Amile Jefferson,PF,Orlando Magic,0.0,3.3,9.2,0.35700000000000004,0.0,0.0,,3.3,9.2,0.35700000000000004,3.3,9.2,0.35700000000000004,6.6,8.6,15.2,2.6,0.7,2.0,2.0,4.6,9.9,94.0,109.0,26.0,18.0,74.0,8.9,0.37200000000000005,0.0,1.0,14.0,19.5,16.7,7.2,0.7,3.7,13.0,13.5,0.0,0.1,0.0,0.023,-4.9,-1.0,-5.9,-0.1,1445697.0,0.0,0.0,0.0,0.0,0.0,NaN,1445697.0,Third Unit
Melvin Frazier,SG,Orlando Magic,0.0,5.7,16.3,0.353,3.8,6.7,0.5710000000000001,1.9,9.6,0.2,1.9,3.8,0.5,1.0,2.9,3.8,1.0,3.8,1.9,2.9,7.7,17.2,86.0,105.0,23.0,15.0,51.0,7.5,0.48,0.41200000000000003,0.235,2.0,6.5,4.2,2.8,3.8,3.5,13.8,18.5,-0.1,0.1,0.0,0.003,-6.0,1.5,-4.5,0.0,1416852.0,1663861.0,0.0,0.0,0.0,0.0,MLE,1416852.0,Third Unit
Josh Magette,PG,Orlando Magic,0.0,6.4,19.3,0.33299999999999996,1.3,5.1,0.25,5.1,14.1,0.364,1.3,2.6,0.5,1.3,6.4,7.7,6.4,3.9,1.3,6.4,5.1,15.4,71.0,104.0,30.0,8.0,38.0,5.1,0.37799999999999995,0.267,0.133,2.7,14.6,8.5,19.2,3.9,2.4,23.9,23.8,-0.2,0.1,-0.1,-0.126,-8.0,1.6,-6.4,0.0,81678.0,0.0,0.0,0.0,0.0,0.0,NaN,81678.0,Third Unit
Allonzo Trier,PG,New York Knicks,1.0,8.5,17.7,0.48100000000000004,3.2,8.9,0.358,5.4,8.9,0.604,5.7,7.2,0.7909999999999999,1.0,3.8,4.9,4.7,0.5,0.7,3.7,4.9,25.9,115.0,118.0,24.0,24.0,291.0,14.5,0.62,0.5,0.406,2.1,8.7,5.3,14.8,0.5,1.3,15.0,21.4,0.5,0.1,0.5,0.087,1.0,-1.5,-0.5,0.1,3551100.0,0.0,0.0,0.0,0.0,0.0,Bi-Annual Exception,3551100.0,Third Unit
Maurice Harkless,SF,New York Knicks,10.0,5.1,11.2,0.455,1.2,4.3,0.28,3.9,7.0,0.561,2.6,4.1,0.625,1.4,5.4,6.8,3.4,1.5,0.5,1.2,4.8,14.0,114.0,114.0,26.0,12.0,286.0,10.1,0.536,0.379,0.364,2.9,12.3,7.5,9.7,1.5,1.0,8.4,12.4,0.3,0.2,0.4,0.069,-3.1,-0.3,-3.5,-0.1,11511234.0,0.0,0.0,0.0,0.0,0.0,Cap Space,11511234.0,Third Unit
Ignas Brazdeikis,SF,New York Knicks,0.0,5.5,20.2,0.273,0.9,8.3,0.111,4.6,11.9,0.385,3.7,4.6,0.8,1.8,2.8,4.6,3.7,0.0,0.9,1.8,2.8,15.6,82.0,119.0,21.0,9.0,53.0,3.3,0.35100000000000003,0.409,0.22699999999999998,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.109,-5.0,-3.9,-8.9,-0.1,898310.0,1517981.0,1782621.0,0.0,0.0,0.0,Minimum Salary,2416291.0,Third Unit
Kyle Korver,SF,Milwaukee Bucks,0.0,6.1,14.2,0.429,4.7,11.4,0.415,1.4,2.9,0.48100000000000004,1.5,1.9,0.8240000000000001,0.8,4.9,5.7,3.3,1.2,0.7,2.3,3.7,18.4,112.0,105.0,38.0,50.0,833.0,11.2,0.613,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5,2564753.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2564753.0,Third Unit
Sterling Brown,SF,Milwaukee Bucks,1.0,5.5,15.0,0.36700000000000005,2.5,7.8,0.316,3.0,7.1,0.423,1.9,2.4,0.7709999999999999,1.9,9.4,11.3,3.2,1.5,0.5,2.5,3.1,15.3,96.0,102.0,24.0,45.0,665.0,9.3,0.478,0.523,0.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,-0.4,1.3,1.0,0.071,-3.1,1.0,-2.0,0.0,1618520.0,0.0,0.0,0.0,0.0,0.0,MLE,1618520.0,Third Unit
D.J. Wilson,PF,Milwaukee Bucks,0.0,6.5,16.5,0.396,2.3,9.0,0.255,4.2,7.5,0.565,1.0,1.5,0.667,1.6,9.5,11.1,3.6,0.3,0.8,2.4,4.2,16.3,95.0,104.0,23.0,31.0,280.0,8.4,0.47600000000000003,0.545,0.08900000000000001,3.8,19.3,12.0,10.3,0.3,1.6,12.5,17.7,-0.2,0.5,0.3,0.055,-3.9,0.3,-3.6,-0.1,2961120.0,4548280.0,0.0,0.0,0.0,0.0,1st Round Pick,7509400.0,Third Unit
Marvin Williams,PF,Milwaukee Bucks,0.0,3.6,8.8,0.41,1.8,6.1,0.29600000000000004,1.8,2.7,0.667,0.9,0.9,1.0,1.1,7.7,8.8,3.4,2.0,0.9,0.7,5.2,9.9,119.0,101.0,33.0,11.0,203.0,9.7,0.54,0.6920000000000001,0.10300000000000001,2.6,15.6,9.5,9.0,2.0,1.7,6.9,8.9,0.2,0.4,0.6,0.14800000000000002,-2.0,3.4,1.4,0.2,956349.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,956349.0,Third Unit
Thanasis Antetokounmpo,SF,Milwaukee Bucks,2.0,9.3,17.7,0.528,0.0,3.4,0.0,9.3,14.3,0.655,3.4,7.4,0.467,5.4,3.9,9.3,4.4,2.9,1.0,5.4,6.4,22.1,99.0,101.0,27.0,18.0,93.0,14.2,0.528,0.19399999999999998,0.41700000000000004,12.4,8.0,10.1,13.8,2.9,1.9,20.5,23.8,0.0,0.2,0.2,0.083,-4.0,1.7,-2.3,0.0,1445697.0,1701593.0,0.0,0.0,0.0,0.0,Minimum Salary,3147290.0,Third Unit
Dragan Bender,SF,Milwaukee Bucks,0.0,5.0,10.5,0.47600000000000003,2.0,4.5,0.444,3.0,6.0,0.5,1.0,1.5,0.667,0.0,10.0,10.0,4.5,0.0,2.5,2.5,8.0,13.1,105.0,102.0,22.0,7.0,91.0,8.5,0.5820000000000001,0.429,0.14300000000000002,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,0.0,0.2,0.2,0.11,-4.3,3.0,-1.3,0.0,1678854.0,0.0,0.0,0.0,0.0,0.0,NaN,1678854.0,Third Unit
