PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Wesley Matthews,IND,32,69,27,42,30.3,107.4,109.4,-2.0,11.3,1.76,15.7,1.5,6.3,3.9,8.9,50.7,54.6,17.5,100.62,6.2
Al Horford,BOS,33,68,41,27,29.0,112.5,106.4,6.1,20.3,2.77,24.7,6.2,16.1,11.3,8.9,58.6,60.5,18.8,100.82,13.4
Andre Iguodala,GSW,35,68,47,21,23.2,113.4,104.4,9.0,17.3,4.15,36.0,3.1,11.7,7.6,8.7,57.9,58.7,10.1,103.23,9.0
Danilo Gallinari,LAC,30,68,40,28,30.3,113.3,111.0,2.3,13.4,1.80,13.4,2.7,17.1,10.1,7.4,55.4,63.3,23.7,101.56,14.3
Devin Harris,DAL,36,68,28,40,15.7,105.7,109.9,-4.2,17.2,2.18,20.9,1.0,9.0,4.9,9.6,47.0,52.7,18.0,100.61,6.5
Eric Gordon,HOU,30,68,44,24,31.7,116.2,108.1,8.1,9.0,1.43,10.6,0.7,5.9,3.3,7.4,52.5,54.9,21.5,99.87,7.0
Jordan Bell,GSW,24,68,46,22,11.6,105.9,111.2,-5.3,13.4,1.81,23.2,6.8,15.4,11.2,12.8,51.6,53.1,13.3,102.30,8.3
Lance Stephenson,LAL,28,68,33,35,16.5,103.9,108.4,-4.5,17.5,1.63,20.3,2.6,15.0,8.8,12.4,51.0,52.9,19.7,106.43,8.8
Nik Stauskas,CLE,25,68,33,35,14.9,100.8,113.7,-12.9,12.3,1.59,16.3,1.6,10.4,5.9,10.2,50.6,54.5,17.1,101.27,7.8
Noah Vonleh,NYK,23,68,13,55,25.3,104.7,112.4,-7.6,10.8,1.47,17.8,6.0,23.4,14.5,12.1,52.3,56.1,14.4,101.29,10.4
Ricky Rubio,UTA,28,68,40,28,27.9,110.4,104.1,6.3,31.3,2.31,29.4,1.7,10.7,6.2,12.7,45.8,52.0,22.1,101.92,10.3
Spencer Dinwiddie,BKN,26,68,36,32,28.1,107.1,109.8,-2.7,27.2,2.05,21.6,1.3,6.9,4.1,10.6,51.7,58.0,24.2,102.33,11.0
