Team,PER,WIN%
Milwaukee Bucks,99.1,0.732
Philadelphia 76ers,94.4,0.622
Toronto Raptors,92.7,0.7070000000000001
Boston Celtics,86.9,0.598
Orlando Magic,84.0,0.512
Washington Wizards,82.5,0.39
Brooklyn Nets,79.8,0.512
Indiana Pacers,78.0,0.585
Cleveland Cavaliers,77.3,0.23199999999999998
Detroit Pistons,77.2,0.5
Charlotte Hornets,76.60000000000001,0.47600000000000003
Chicago Bulls,75.7,0.268
Miami Heat,74.9,0.47600000000000003
Atlanta Hawks,71.60000000000001,0.354
New York Knicks,60.2,0.207
