Player,Position,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,role
Anthony Tolliver,PF,Minnesota Timberwolves,0,4.4,11.5,0.382,3.6,9.5,0.377,0.8,2.0,0.409,2.1,2.7,0.7829999999999999,0.7,7.2,7.9,2.0,0.8,0.9,1.6,4.0,14.5,110.0,115,33,65,1079,8.6,0.5710000000000001,0.83,0.232,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052000000000000005,-1.2,-1.0,-2.2,-0.1,5750000,5750000,0,0,0,0,0,SU
Gorgui Dieng,C,Minnesota Timberwolves,2,8.8,17.5,0.501,0.9,2.6,0.339,7.9,14.9,0.53,4.1,4.9,0.83,3.8,10.7,14.5,3.3,2.2,1.9,2.6,6.2,22.5,114.0,108,29,76,1031,18.1,0.5720000000000001,0.149,0.281,8.3,24.1,16.1,10.3,2.2,3.4,11.9,19.6,1.5,1.3,2.8,0.132,-0.9,1.4,0.5,0.7,48687640,15170787,16229213,17287640,0,0,0,SU
Jaylen Brown,SG,Boston Celtics,25,9.3,19.9,0.465,2.4,6.9,0.344,6.9,13.0,0.529,3.3,5.1,0.6579999999999999,1.6,6.2,7.9,2.5,1.7,0.8,2.5,4.7,24.3,104.0,109,22,74,1913,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3.0,0.076,-1.5,-0.6,-2.1,0.0,11704789,5169960,6534829,0,0,0,0,SU
Gordon Hayward,PF,Boston Celtics,18,7.7,16.4,0.466,2.0,6.0,0.333,5.7,10.4,0.542,4.0,4.8,0.8340000000000001,1.3,7.0,8.3,6.3,1.6,0.6,2.7,2.7,21.3,114.0,109,28,72,1863,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.0,2.6,2.3,4.9,0.126,0.1,0.4,0.5,1.2,63914985,31214295,32700690,34187085,0,0,0,SU
Terry Rozier,PG,Boston Celtics,14,6.9,17.9,0.387,3.2,9.1,0.353,3.7,8.8,0.422,2.0,2.5,0.785,0.9,7.4,8.3,6.2,1.8,0.6,1.8,2.7,19.0,106.0,108,24,79,1791,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.6,0.9,2.3,3.2,0.086,-1.0,0.2,-0.7,0.6,3050390,3050390,0,0,0,0,0,SU
Daniel Theis,C,Boston Celtics,2,7.7,14.1,0.5489999999999999,1.4,3.6,0.388,6.4,10.6,0.603,3.0,4.0,0.737,4.6,7.3,11.9,3.6,1.1,2.2,1.8,8.5,19.8,128.0,107,26,66,908,17.0,0.624,0.252,0.28600000000000003,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,0.8,1.5,2.3,1.0,6378242,1378242,0,0,0,0,0,SU
Aron Baynes,C,Boston Celtics,18,6.2,13.1,0.471,1.2,3.6,0.344,4.9,9.5,0.519,3.1,3.6,0.855,5.2,8.9,14.1,3.3,0.7,2.0,2.3,7.3,16.7,118.0,108,32,51,821,14.0,0.5670000000000001,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,0.139,-1.2,1.4,0.2,0.5,5193600,5193600,5453280,0,0,0,0,SU
Kevon Looney,C,Golden State Warriors,24,7.0,11.1,0.625,0.0,0.3,0.1,6.9,10.8,0.6409999999999999,2.1,3.4,0.619,6.2,7.2,13.4,4.0,1.5,1.7,1.6,6.8,16.1,135.0,109,22,80,1481,17.3,0.636,0.029,0.303,14.6,15.4,15.0,10.9,1.5,3.0,11.5,12.8,4.2,1.8,6.0,0.194,1.9,1.8,3.7,2.1,11196637,1567007,0,0,0,0,0,SU
Jonas Jerebko,PF,Golden State Warriors,6,6.4,13.9,0.459,2.7,7.3,0.3670000000000001,3.7,6.5,0.563,2.5,3.1,0.8,2.8,8.4,11.2,3.7,1.1,0.7,1.7,5.4,17.9,120.0,111,31,73,1218,13.5,0.588,0.53,0.225,6.6,18.1,12.6,10.1,1.1,1.2,9.9,15.2,2.1,1.2,3.3,0.13,0.6,-0.6,0.0,0.6,2165481,2165481,0,0,0,0,0,SU
Quinn Cook,PG,Golden State Warriors,10,9.2,19.7,0.465,3.6,9.0,0.405,5.5,10.7,0.515,0.9,1.2,0.769,1.0,6.1,7.1,5.2,0.9,0.1,2.2,4.1,22.9,110.0,113,25,74,1059,13.1,0.565,0.456,0.059,2.3,13.0,7.9,15.2,0.9,0.2,10.0,20.2,1.0,0.8,1.8,0.08199999999999999,-0.2,-2.7,-2.9,-0.2,1544951,1544951,0,0,0,0,0,SU
Alfonzo McKinnie,SF,Golden State Warriors,5,6.4,13.0,0.487,2.0,5.6,0.35600000000000004,4.4,7.4,0.586,1.3,2.3,0.563,3.8,7.9,11.7,1.5,0.9,0.7,1.4,6.4,16.0,116.0,111,26,72,1003,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-0.9,-1.5,-2.5,-0.1,1349383,1349383,1588231,0,0,0,0,SU
Shaun Livingston,PG,Golden State Warriors,0,5.4,10.3,0.519,0.0,0.1,0.0,5.4,10.2,0.524,2.0,2.5,0.784,2.1,3.7,5.8,5.6,1.5,1.3,1.9,3.6,12.7,118.0,112,33,64,967,11.7,0.555,0.01,0.243,4.9,7.9,6.5,14.8,1.5,2.3,14.1,12.0,1.2,0.9,2.0,0.101,-1.9,0.5,-1.5,0.1,10974358,8307692,666667,666667,666666,0,0,SU
Elfrid Payton,PG,New Orleans Pelicans,42,6.7,15.3,0.434,1.2,3.9,0.314,5.4,11.4,0.476,2.0,2.8,0.743,1.8,6.4,8.2,11.9,1.6,0.6,4.2,3.0,16.6,106.0,113,24,42,1250,14.0,0.502,0.255,0.18,4.1,14.0,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.058,-0.7,-0.1,-0.9,0.4,3000000,3000000,0,0,0,0,0,SU
Frank Jackson,PG,New Orleans Pelicans,16,7.7,17.8,0.434,2.1,6.7,0.314,5.6,11.1,0.507,2.1,2.9,0.74,1.0,4.3,5.3,2.7,1.0,0.1,1.9,3.7,19.7,102.0,117,20,61,1169,9.4,0.517,0.378,0.163,2.2,9.5,5.9,8.0,1.0,0.1,9.1,18.5,0.1,0.4,0.4,0.018000000000000002,-2.2,-2.8,-5.0,-0.9,2996762,1378242,1618520,0,0,0,0,SU
Kenrich Williams,SF,New Orleans Pelicans,29,4.6,12.0,0.384,2.2,6.7,0.333,2.4,5.3,0.447,0.6,0.8,0.684,2.4,7.1,9.4,3.6,1.9,0.8,1.6,4.1,12.0,105.0,112,24,46,1079,9.7,0.485,0.5589999999999999,0.068,5.4,15.5,10.5,9.5,1.9,1.4,11.1,12.3,0.3,0.9,1.2,0.053,-1.2,0.9,-0.3,0.5,1038464,838464,1443842,0,0,0,0,SU
Ian Clark,SG,New Orleans Pelicans,6,7.2,18.3,0.394,3.2,9.6,0.327,4.1,8.6,0.47,1.6,1.8,0.892,0.6,3.6,4.3,4.5,1.1,0.4,2.8,4.5,19.2,98.0,116,27,60,973,8.3,0.502,0.527,0.097,1.4,8.0,4.7,12.9,1.1,0.7,12.7,19.3,-0.4,0.3,-0.1,-0.003,-2.2,-2.9,-5.1,-0.8,1757429,1757429,0,0,0,0,0,SU
