Player,Position,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,role
Paul George,SF,Oklahoma City Thunder,77,11.6,26.5,0.438,4.8,12.4,0.386,6.8,14.1,0.484,7.4,8.9,0.8390000000000001,1.7,8.6,10.3,5.2,2.8,0.6,3.4,3.5,35.5,116.0,105,28,77,2841,23.3,0.583,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1.0,10.0,29.5,7.0,4.9,11.9,0.201,4.7,0.7,5.5,5.3,30560700,30560700,33005556,35450412,37895268,0,0,FU
Steven Adams,C,Oklahoma City Thunder,80,8.4,14.1,0.595,0.0,0.0,0.0,8.4,14.1,0.596,2.6,5.1,0.5,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,120.0,106,25,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.6,2.1,2.7,3.2,77528091,24157304,25842697,27528090,0,0,0,FU
Russell Westbrook,PG,Oklahoma City Thunder,73,11.2,26.1,0.428,2.1,7.3,0.29,9.1,18.8,0.481,5.3,8.0,0.6559999999999999,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,105.0,103,30,73,2630,21.1,0.501,0.279,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,1.8,5.0,6.8,0.124,2.5,3.9,6.5,5.6,35654150,35654150,38178000,41006000,43848000,46662000,0,FU
Jerami Grant,PF,Oklahoma City Thunder,77,7.3,14.7,0.4970000000000001,2.1,5.2,0.392,5.3,9.5,0.555,2.8,3.9,0.71,1.7,5.7,7.5,1.4,1.1,1.8,1.2,3.8,19.5,119.0,108,24,80,2612,13.8,0.5920000000000001,0.35600000000000004,0.269,3.7,13.1,8.2,4.2,1.1,3.2,6.8,15.4,4.0,3.3,7.3,0.134,-0.6,0.9,0.3,1.5,8653847,8653847,9346153,9346153,0,0,0,FU
Dennis Schröder,PG,Oklahoma City Thunder,14,9.2,22.3,0.414,2.5,7.3,0.341,6.7,14.9,0.45,3.8,4.6,0.8190000000000001,0.8,5.0,5.7,6.5,1.3,0.2,3.5,3.8,24.7,103.0,110,25,79,2314,12.7,0.508,0.33,0.206,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.6,-1.5,-3.1,-0.6,46500000,15500000,15500000,15500000,0,0,0,FU
Mikal Bridges,SF,Phoenix Suns,56,4.8,11.1,0.43,2.1,6.2,0.335,2.7,4.9,0.5479999999999999,1.9,2.3,0.805,1.1,4.1,5.2,3.4,2.5,0.8,1.4,4.0,13.5,112.0,115,22,82,2417,10.8,0.556,0.556,0.21,2.5,9.7,6.0,9.8,2.5,1.3,10.2,12.2,1.7,1.2,2.9,0.058,-0.5,0.3,-0.2,1.1,7713960,3552960,4161000,4359000,5557725,0,0,FU
Devin Booker,SG,Phoenix Suns,64,12.5,26.7,0.467,2.9,8.8,0.326,9.6,17.9,0.536,8.4,9.7,0.866,0.8,4.8,5.6,9.2,1.2,0.3,5.6,4.3,36.2,109.0,118,22,64,2242,20.2,0.584,0.33,0.362,1.9,11.3,6.5,34.1,1.2,0.5,15.4,32.9,3.3,0.3,3.5,0.076,3.8,-3.0,0.8,1.6,161364365,3314365,27250000,29430000,31610000,33790000,35970000,FU
Deandre Ayton,C,Phoenix Suns,70,11.1,19.0,0.585,0.0,0.1,0.0,11.1,18.9,0.588,3.1,4.1,0.746,4.9,11.1,15.9,2.7,1.3,1.5,2.8,4.6,25.4,117.0,113,20,71,2183,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,-0.1,0.2,0.2,1.2,17728080,8165160,9562920,10018200,12632950,0,0,FU
Josh Jackson,SG,Phoenix Suns,29,8.3,20.2,0.413,1.8,5.4,0.324,6.6,14.8,0.445,3.4,5.1,0.6709999999999999,1.6,6.7,8.3,4.4,1.8,1.3,4.2,5.0,21.9,91.0,114,21,79,1988,10.6,0.487,0.268,0.253,3.6,15.9,9.7,14.1,1.8,2.3,15.6,23.9,-2.8,1.1,-1.7,-0.04,-4.3,-0.5,-4.8,-1.4,6041520,6041520,7059480,8930242,0,0,0,FU
T.J. Warren,SF,Phoenix Suns,36,10.4,21.5,0.486,2.7,6.3,0.428,7.7,15.1,0.51,3.5,4.4,0.815,1.1,5.0,6.1,2.2,1.8,1.0,1.8,4.2,27.1,111.0,116,25,43,1360,16.3,0.58,0.295,0.203,2.5,11.8,7.1,7.7,1.8,1.8,7.2,22.7,1.6,0.5,2.1,0.07400000000000001,0.1,-1.8,-1.7,0.1,11750000,11750000,10810000,11750000,12690000,0,0,FU
Trae Young,PG,Atlanta Hawks,81,9.7,23.2,0.418,2.9,8.9,0.324,6.8,14.3,0.477,6.3,7.6,0.8290000000000001,1.2,4.4,5.6,12.1,1.3,0.3,5.7,2.6,28.6,107.0,117,20,81,2503,17.0,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,1.8,-2.8,-1.1,0.6,11629440,5356440,6273000,6571800,8326471,0,0,FU
Kevin Huerter,SG,Atlanta Hawks,59,6.2,14.8,0.419,3.1,8.0,0.385,3.1,6.9,0.457,0.9,1.3,0.732,1.4,4.2,5.5,4.8,1.5,0.6,2.5,3.5,16.4,106.0,116,20,75,2048,10.1,0.5329999999999999,0.537,0.085,3.0,9.7,6.3,14.5,1.5,1.1,13.8,15.7,0.7,0.7,1.5,0.034,-0.9,-1.0,-1.9,0.1,4887240,2250960,2636280,2761920,4253357,0,0,FU
DeAndre' Bembry,SG,Atlanta Hawks,15,6.6,14.7,0.446,1.2,4.1,0.289,5.4,10.6,0.508,2.1,3.3,0.64,1.3,7.3,8.6,4.8,2.5,1.0,3.4,4.5,16.4,97.0,112,24,82,1931,10.8,0.508,0.281,0.221,2.9,16.9,9.7,14.7,2.5,1.8,17.4,17.2,-0.9,1.7,0.9,0.022,-3.3,1.1,-2.2,-0.1,4238622,1634640,2603982,0,0,0,0,FU
John Collins,PF,Atlanta Hawks,59,11.7,21.0,0.56,1.4,4.0,0.348,10.4,17.0,0.609,5.1,6.7,0.763,5.5,9.5,15.0,3.1,0.6,1.0,3.0,5.0,30.0,122.0,115,21,61,1829,21.8,0.627,0.19,0.32,12.3,22.1,17.1,11.0,0.6,1.8,11.2,23.7,5.0,1.0,6.0,0.158,2.6,-1.2,1.4,1.6,4985640,2299080,2686560,4137302,0,0,0,FU
Kent Bazemore,SG,Atlanta Hawks,35,7.8,19.4,0.402,2.7,8.4,0.32,5.1,11.0,0.465,3.6,4.9,0.726,1.0,6.3,7.3,4.3,2.5,1.2,3.4,4.8,21.9,98.0,112,29,67,1643,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22.0,-0.7,1.4,0.7,0.021,-2.2,0.0,-2.2,-0.1,18089887,18089887,19269662,0,0,0,0,FU
Josh Richardson,SG,Miami Heat,73,8.1,19.7,0.412,3.2,8.9,0.35700000000000004,5.0,10.9,0.458,3.8,4.4,0.861,1.0,4.0,5.1,5.7,1.5,0.7,2.2,3.8,23.3,111.0,110,25,73,2539,14.0,0.536,0.448,0.225,2.3,8.8,5.5,17.9,1.5,1.2,9.1,20.9,3.0,2.6,5.6,0.106,1.0,-0.4,0.6,1.7,9367200,9367200,10100000,10800000,11600000,0,0,FU
Justise Winslow,SF,Miami Heat,52,8.1,18.7,0.433,2.4,6.4,0.375,5.7,12.3,0.462,2.1,3.4,0.628,1.6,7.3,8.9,7.0,1.8,0.5,3.5,4.4,20.7,102.0,108,22,66,1959,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.1,1.0,-0.1,1.0,29448926,3448926,13000000,13000000,13000000,0,0,FU
Bam Adebayo,C,Miami Heat,28,7.2,12.4,0.5760000000000001,0.1,0.4,0.2,7.1,12.0,0.588,4.2,5.8,0.735,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,120.0,104,21,82,1913,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3.0,2.4,6409920,2955840,3454080,5115492,0,0,0,FU
Dwyane Wade,SG,Miami Heat,2,10.8,24.9,0.433,2.2,6.8,0.33,8.6,18.1,0.472,4.3,6.0,0.708,1.8,5.6,7.4,7.8,1.5,1.0,4.3,3.1,28.1,102.0,109,37,72,1885,15.8,0.51,0.272,0.243,3.9,12.2,8.0,26.5,1.5,1.8,13.5,27.9,0.1,2.3,2.4,0.061,-0.4,0.0,-0.5,0.7,2393887,2393887,0,0,0,0,0,FU
Kelly Olynyk,PF,Miami Heat,36,7.0,15.2,0.463,3.0,8.6,0.354,4.0,6.6,0.604,4.1,5.0,0.8220000000000001,1.9,8.2,10.1,3.8,1.4,1.0,3.1,4.9,21.2,114.0,108,27,79,1812,14.4,0.61,0.5660000000000001,0.328,4.2,17.8,11.0,11.4,1.4,1.8,15.0,18.0,2.3,2.5,4.7,0.126,0.3,0.8,1.1,1.4,23805412,12137527,11667885,12198243,0,0,0,FU
DeMar DeRozan,SG,San Antonio Spurs,77,11.5,23.9,0.481,0.1,0.8,0.156,11.3,23.0,0.4920000000000001,6.6,8.0,0.83,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,110.0,111,29,77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,0.4,0.5,0.9,2.0,55479950,27739975,27739975,27739975,0,0,0,FU
LaMarcus Aldridge,C,San Antonio Spurs,81,12.4,24.0,0.519,0.2,0.8,0.238,12.3,23.2,0.528,6.3,7.5,0.847,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,117.0,110,33,81,2687,22.9,0.5760000000000001,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.16699999999999998,1.2,0.5,1.6,2.5,55347015,22347015,26000000,24000000,0,0,0,FU
Bryn Forbes,SG,San Antonio Spurs,81,7.7,16.8,0.456,3.7,8.8,0.426,3.9,8.1,0.489,1.5,1.7,0.885,0.4,4.7,5.1,3.7,1.0,0.1,1.7,3.4,20.6,113.0,114,25,82,2293,12.0,0.586,0.522,0.099,0.9,10.4,5.7,10.6,1.0,0.1,8.8,17.4,2.5,1.3,3.8,0.079,1.0,-1.7,-0.7,0.7,6000000,3125000,2875000,0,0,0,0,FU
Patty Mills,PG,San Antonio Spurs,1,7.2,17.0,0.425,4.1,10.3,0.394,3.1,6.6,0.475,2.3,2.6,0.8540000000000001,0.6,4.0,4.7,6.3,1.3,0.3,2.4,3.3,20.8,112.0,114,30,82,1908,13.2,0.5720000000000001,0.609,0.155,1.4,8.9,5.2,17.6,1.3,0.4,11.6,18.5,2.2,1.2,3.5,0.087,1.5,-2.0,-0.5,0.7,37285714,11571429,12428571,13285714,0,0,0,FU
Rudy Gay,PF,San Antonio Spurs,51,10.0,19.8,0.504,2.0,4.9,0.402,8.0,14.9,0.537,3.2,3.9,0.816,1.7,10.8,12.5,4.8,1.4,0.9,3.0,4.2,25.1,111.0,109,32,69,1842,17.5,0.583,0.247,0.197,3.8,23.9,13.9,14.7,1.4,1.6,12.3,22.1,2.2,2.2,4.4,0.115,0.2,0.8,1.0,1.4,38087200,10087200,0,0,0,0,0,FU
Donovan Mitchell,SG,Utah Jazz,77,12.2,28.2,0.4320000000000001,3.5,9.6,0.362,8.7,18.6,0.468,5.9,7.3,0.8059999999999999,1.1,4.7,5.8,5.9,2.0,0.6,4.0,3.8,33.7,104.0,107,22,77,2598,17.2,0.537,0.339,0.259,2.5,10.5,6.6,21.2,2.0,0.9,11.3,31.6,1.3,3.7,5.0,0.092,0.8,-0.2,0.6,1.7,6747240,3111480,3635760,5195501,0,0,0,FU
Rudy Gobert,C,Utah Jazz,80,8.8,13.2,0.669,0.0,0.0,,8.8,13.2,0.669,6.2,9.7,0.636,5.7,13.6,19.3,3.0,1.2,3.5,2.4,4.3,23.8,133.0,100,26,81,2577,24.6,0.682,0.0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,8.7,5.7,14.4,0.268,2.0,5.1,7.0,5.9,74775281,23241573,25008427,26525281,0,0,0,FU
Joe Ingles,PF,Utah Jazz,82,6.7,14.9,0.448,3.5,9.0,0.391,3.2,5.9,0.5329999999999999,1.6,2.3,0.7070000000000001,0.7,5.5,6.1,8.7,1.8,0.4,3.6,3.4,18.5,110.0,107,31,82,2568,13.4,0.581,0.602,0.153,1.5,12.2,7.0,26.1,1.8,0.6,18.4,17.5,2.5,3.6,6.0,0.113,1.0,0.8,1.8,2.5,35863638,13045455,11954546,10863637,0,0,0,FU
Jae Crowder,SF,Utah Jazz,11,7.0,17.6,0.399,3.8,11.5,0.331,3.2,6.1,0.527,3.1,4.4,0.721,1.3,7.2,8.5,2.9,1.4,0.7,1.9,3.8,21.0,107.0,107,28,80,2166,12.1,0.5379999999999999,0.655,0.247,3.1,15.9,9.6,8.9,1.4,1.1,8.8,19.1,1.3,3.1,4.4,0.097,0.0,0.4,0.4,1.3,7305825,7305825,7815533,0,0,0,0,FU
Ricky Rubio,PG,Utah Jazz,67,7.4,18.4,0.404,2.0,6.4,0.311,5.4,12.0,0.454,4.9,5.7,0.855,0.8,5.3,6.1,10.5,2.3,0.3,4.5,4.5,21.8,105.0,107,28,68,1899,14.0,0.52,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,0.9,2.8,3.7,0.095,-0.6,0.6,0.0,0.9,14975000,14975000,0,0,0,0,0,FU
D'Angelo Russell,PG,Brooklyn Nets,81,12.8,29.5,0.434,4.5,12.3,0.369,8.3,17.1,0.482,3.1,4.0,0.78,1.0,5.1,6.1,10.9,1.9,0.4,4.9,2.7,33.3,107.0,110,22,81,2448,19.4,0.5329999999999999,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5.0,0.097,3.9,-0.5,3.4,3.3,7019698,7019698,0,0,0,0,0,FU
Joe Harris,SG,Brooklyn Nets,76,7.8,15.5,0.5,3.8,8.0,0.474,4.0,7.5,0.528,2.3,2.8,0.8270000000000001,1.1,5.0,6.0,3.8,0.8,0.4,2.5,3.8,21.6,119.0,113,27,76,2293,13.5,0.645,0.516,0.17800000000000002,2.4,10.9,6.7,11.9,0.8,0.6,13.0,17.0,3.8,1.7,5.5,0.116,1.4,-0.5,1.0,1.7,16003333,8333333,7670000,0,0,0,0,FU
Jarrett Allen,C,Brooklyn Nets,80,7.6,12.9,0.59,0.1,1.0,0.133,7.5,11.9,0.629,4.5,6.3,0.7090000000000001,4.3,10.9,15.3,2.5,1.0,2.7,2.3,4.2,19.8,123.0,106,20,80,2096,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4,4410960,2034120,2376840,3909902,0,0,0,FU
Spencer Dinwiddie,PG,Brooklyn Nets,4,9.1,20.6,0.442,3.1,9.2,0.335,6.0,11.4,0.528,7.1,8.9,0.8059999999999999,0.6,3.5,4.1,7.7,1.0,0.4,3.8,4.7,28.4,114.0,113,25,68,1914,16.3,0.58,0.447,0.43,1.4,7.6,4.6,25.6,1.0,0.7,13.4,24.9,3.5,1.4,4.8,0.121,1.9,-2.1,-0.2,0.8,23656092,1656092,10600000,11400000,12300000,0,0,FU
DeMarre Carroll,PF,Brooklyn Nets,8,6.3,16.1,0.395,3.0,8.7,0.342,3.4,7.4,0.457,5.1,6.8,0.76,1.9,7.9,9.8,2.4,0.9,0.3,2.0,3.2,20.8,110.0,111,32,67,1703,12.1,0.546,0.539,0.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.08800000000000001,-1.0,-0.7,-1.7,0.1,15400000,15400000,0,0,0,0,0,FU
Damian Lillard,PG,Portland Trail Blazers,80,11.6,26.2,0.444,4.0,11.0,0.369,7.6,15.2,0.499,8.0,8.8,0.912,1.2,5.2,6.3,9.4,1.5,0.6,3.6,2.5,35.3,121.0,112,28,80,2838,23.7,0.588,0.419,0.335,2.6,11.1,7.0,30.6,1.5,1.0,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-1.1,5.5,5.4,285406963,27977689,29802321,31626953,43750000,47250000,50750000,FU
CJ McCollum,SG,Portland Trail Blazers,70,11.6,25.3,0.459,3.4,9.1,0.375,8.2,16.3,0.506,3.2,3.9,0.828,1.3,4.5,5.8,4.2,1.1,0.6,2.2,3.5,29.9,113.0,113,27,70,2375,17.0,0.5529999999999999,0.358,0.154,2.9,9.7,6.3,13.8,1.1,0.9,7.4,25.5,4.0,1.7,5.6,0.114,2.2,-1.9,0.3,1.3,82670877,25759766,27556959,29354152,0,0,0,FU
Al-Farouq Aminu,PF,Portland Trail Blazers,81,5.4,12.5,0.433,2.0,5.9,0.343,3.4,6.6,0.514,3.2,3.7,0.867,2.4,10.5,12.9,2.2,1.4,0.7,1.5,3.0,16.1,118.0,109,28,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.8,0.9,1.7,6957105,6957105,0,0,0,0,0,FU
Jusuf Nurkić,C,Portland Trail Blazers,72,10.3,20.3,0.508,0.1,0.7,0.103,10.2,19.6,0.523,6.9,9.0,0.773,6.0,12.4,18.4,5.7,1.7,2.5,4.1,6.1,27.6,116.0,105,24,72,1974,23.4,0.57,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,4.4,3.3,7.8,0.189,1.6,3.6,5.1,3.5,39111111,11111111,12000000,12000000,12000000,0,0,FU
Evan Turner,PG,Portland Trail Blazers,2,6.2,13.4,0.46,0.3,1.6,0.212,5.8,11.8,0.494,2.3,3.2,0.708,1.1,8.8,9.9,8.5,1.0,0.5,3.4,3.3,14.9,105.0,111,30,73,1605,11.6,0.504,0.117,0.239,2.5,18.9,10.9,23.6,1.0,0.9,18.9,15.9,0.5,1.5,2.0,0.06,-2.5,0.7,-1.8,0.1,17868852,17868852,18606557,0,0,0,0,FU
Mike Conley,PG,Memphis Grizzlies,70,10.4,23.8,0.438,3.3,9.0,0.364,7.1,14.7,0.483,7.3,8.6,0.845,0.8,4.2,5.1,9.5,2.0,0.5,2.8,2.6,31.4,117.0,111,31,70,2342,21.4,0.569,0.38,0.363,1.9,9.7,5.7,33.4,2.0,0.9,9.1,27.3,5.7,2.3,8.0,0.16399999999999998,4.8,-1.3,3.4,3.2,30521116,30521116,32511623,34504132,0,0,0,FU
Jaren Jackson,PF,Memphis Grizzlies,56,9.8,19.3,0.506,1.7,4.7,0.359,8.1,14.7,0.5529999999999999,5.0,6.5,0.7659999999999999,2.4,6.5,8.9,2.1,1.7,2.7,3.2,7.2,26.2,108.0,107,19,58,1515,16.4,0.591,0.241,0.334,5.3,15.0,10.1,7.2,1.7,5.1,12.7,22.8,1.2,2.2,3.3,0.105,-1.4,1.4,0.1,0.8,12842520,5915040,6927480,7257360,9180560,0,0,FU
Justin Holiday,SG,Memphis Grizzlies,39,5.8,14.8,0.389,2.5,7.6,0.333,3.3,7.3,0.447,2.1,2.3,0.9,1.0,4.9,6.0,2.4,2.1,0.6,2.2,3.3,16.2,96.0,110,29,44,1282,8.9,0.509,0.509,0.157,2.3,11.3,6.7,7.1,2.1,1.1,12.2,16.3,-0.6,1.4,0.8,0.029,-2.6,0.3,-2.2,-0.1,4384616,4384616,0,0,0,0,0,FU
Kyle Anderson,SF,Memphis Grizzlies,40,5.8,10.7,0.5429999999999999,0.3,1.3,0.265,5.5,9.4,0.583,1.4,2.5,0.578,1.9,7.9,9.7,5.0,2.1,1.4,2.3,4.3,13.4,110.0,107,25,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,0.8,1.8,2.7,0.1,-2.1,3.3,1.2,1.0,37156300,8641000,9073050,9505100,9937150,0,0,FU
Delon Wright,PG,Memphis Grizzlies,11,7.1,16.4,0.434,1.2,4.8,0.256,5.9,11.6,0.508,4.1,5.5,0.742,1.8,6.9,8.7,8.6,2.6,0.9,2.5,3.1,19.6,110.0,107,26,26,802,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.119,0.3,1.9,2.2,0.8,2536898,2536898,0,0,0,0,0,FU
Bojan Bogdanović,SF,Indiana Pacers,81,9.9,20.0,0.4970000000000001,3.1,7.3,0.425,6.8,12.6,0.5379999999999999,4.7,5.8,0.807,0.6,5.7,6.3,3.1,1.3,0.0,2.5,2.6,27.6,114.0,110,29,81,2573,16.1,0.613,0.3670000000000001,0.29,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.126,1.4,-1.4,0.0,1.3,10500000,10500000,0,0,0,0,0,FU
Thaddeus Young,PF,Indiana Pacers,81,8.7,16.5,0.527,1.0,2.9,0.349,7.7,13.7,0.564,1.7,2.7,0.644,3.8,6.5,10.3,4.0,2.4,0.7,2.4,3.8,20.1,113.0,106,30,81,2489,16.2,0.569,0.174,0.161,8.7,14.4,11.7,12.0,2.4,1.3,12.0,18.0,3.0,3.9,6.9,0.133,0.8,2.1,2.9,3.1,13764045,13764045,0,0,0,0,0,FU
Darren Collison,PG,Indiana Pacers,76,7.0,15.0,0.467,1.8,4.4,0.407,5.2,10.6,0.4920000000000001,3.6,4.3,0.8320000000000001,0.8,4.5,5.3,10.5,2.5,0.2,2.9,3.1,19.5,118.0,108,31,76,2143,16.7,0.574,0.294,0.28800000000000003,1.9,9.9,6.0,29.9,2.5,0.4,14.4,17.7,3.9,2.9,6.8,0.153,1.2,0.0,1.2,1.8,10000000,10000000,0,0,0,0,0,FU
Myles Turner,C,Indiana Pacers,74,8.8,18.0,0.487,1.8,4.5,0.388,7.0,13.5,0.521,3.4,4.6,0.736,2.3,9.9,12.3,2.7,1.4,4.6,2.3,4.5,22.7,110.0,101,22,74,2119,18.0,0.5670000000000001,0.251,0.258,5.4,22.0,13.9,8.0,1.4,8.4,10.3,20.0,1.9,4.4,6.3,0.14400000000000002,-1.4,4.7,3.3,2.8,75410284,3410284,18000000,18000000,18000000,18000000,0,FU
Cory Joseph,PG,Indiana Pacers,9,5.4,13.0,0.412,1.3,4.1,0.322,4.1,8.9,0.454,0.7,1.0,0.698,0.9,5.7,6.6,7.6,2.2,0.5,1.9,3.1,12.7,105.0,107,27,82,2063,11.0,0.474,0.312,0.078,2.1,12.6,7.5,20.7,2.2,0.9,12.4,13.7,0.5,2.9,3.5,0.081,-2.0,1.4,-0.5,0.8,7945000,7945000,0,0,0,0,0,FU
Khris Middleton,SF,Milwaukee Bucks,77,9.8,22.3,0.441,3.5,9.2,0.378,6.4,13.1,0.485,4.2,5.0,0.8370000000000001,1.0,8.0,9.0,6.4,1.6,0.1,3.4,3.3,27.3,109.0,106,27,77,2393,16.5,0.5579999999999999,0.413,0.225,2.3,16.5,9.8,20.1,1.6,0.2,12.1,25.1,2.5,3.6,6.1,0.123,0.7,0.1,0.8,1.7,150103448,13000000,0,0,0,0,0,FU
Giannis Antetokounmpo,PF,Milwaukee Bucks,72,14.2,24.6,0.578,1.0,4.0,0.256,13.2,20.6,0.6409999999999999,9.9,13.5,0.7290000000000001,3.1,14.6,17.7,8.4,1.8,2.2,5.3,4.6,39.3,121.0,99,24,72,2358,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,5.7,5.0,10.8,7.6,77528091,24157304,25842697,27528090,0,0,0,FU
Brook Lopez,C,Milwaukee Bucks,81,7.1,15.7,0.452,3.7,10.2,0.365,3.4,5.5,0.613,2.2,2.7,0.8420000000000001,0.7,7.3,7.9,2.0,1.0,3.6,1.6,3.8,20.2,113.0,103,30,81,2322,14.6,0.597,0.6509999999999999,0.16899999999999998,1.5,15.0,8.7,5.7,1.0,6.5,8.9,16.7,2.3,4.3,6.7,0.138,-0.2,2.9,2.7,2.8,55382000,3382000,0,0,0,0,0,FU
Eric Bledsoe,PG,Milwaukee Bucks,78,9.6,19.9,0.484,2.5,7.7,0.329,7.1,12.2,0.5820000000000001,3.6,4.8,0.75,1.7,5.7,7.4,8.8,2.4,0.6,3.4,3.2,25.4,116.0,105,29,78,2272,19.3,0.5770000000000001,0.388,0.243,3.9,11.8,8.1,27.4,2.4,1.1,13.3,22.9,4.4,3.7,8.2,0.173,2.5,1.0,3.5,3.2,85000000,15000000,15625000,16875000,18125000,19375000,0,FU
Malcolm Brogdon,SG,Milwaukee Bucks,64,9.6,19.0,0.505,2.6,6.2,0.426,7.0,12.8,0.544,3.6,3.9,0.928,1.6,5.7,7.3,5.2,1.2,0.3,2.3,2.6,25.4,121.0,108,26,64,1832,17.8,0.614,0.326,0.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.7,4.2,2.3,6.5,0.171,1.9,-0.3,1.5,1.6,1544951,1544951,0,0,0,0,0,FU
Pascal Siakam,PF,Toronto Raptors,79,9.8,17.8,0.5489999999999999,1.5,4.0,0.369,8.3,13.7,0.602,4.5,5.7,0.785,2.3,8.0,10.3,4.7,1.4,1.0,2.9,4.5,25.5,120.0,107,24,80,2548,18.7,0.628,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,0.175,2.0,1.4,3.4,3.5,3896790,1544951,2351839,0,0,0,0,FU
Danny Green,SG,Toronto Raptors,80,6.3,13.6,0.465,4.3,9.4,0.455,2.1,4.2,0.487,0.8,1.0,0.841,1.3,5.6,6.9,2.7,1.6,1.1,1.6,3.7,17.8,119.0,108,31,80,2216,13.0,0.632,0.69,0.07,3.0,12.2,7.7,7.7,1.6,2.0,10.4,14.1,3.0,2.9,5.9,0.128,1.7,1.2,2.9,2.7,10000000,10000000,0,0,0,0,0,FU
Kyle Lowry,PG,Toronto Raptors,65,6.6,16.0,0.411,3.4,9.8,0.34700000000000003,3.2,6.2,0.514,3.5,4.2,0.83,0.9,5.9,6.8,12.2,2.0,0.7,3.9,3.6,20.1,115.0,108,32,65,2213,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,3.6,3.0,6.6,0.14400000000000002,2.5,0.6,3.1,2.8,64496296,31200000,33296296,0,0,0,0,FU
Kawhi Leonard,SF,Toronto Raptors,60,13.2,26.5,0.496,2.6,7.1,0.371,10.5,19.4,0.542,8.6,10.0,0.8540000000000001,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2.0,37.5,119.0,105,27,60,2040,25.8,0.606,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1.0,8.4,30.3,6.1,3.4,9.5,0.224,4.3,0.7,5.0,3.6,23114067,23114067,0,0,0,0,0,FU
