Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Doug McDermott,SF,27,Indiana Pacers,77,1340,11.6,0.617,0.488,0.187,1.4,7.5,4.5,7.1,0.7,0.5,8.4,16.3,1.8,1.1,2.9,0.10300000000000001,0.0,-2.1,-2.1,0.0,22000001,7333334,7333334,7333333,0,0,0
JaVale McGee,C,31,Los Angeles Lakers,75,1671,21.8,0.634,0.019,0.237,12.3,22.5,17.5,4.8,1.3,7.3,13.2,20.2,3.0,2.9,5.9,0.171,-0.9,2.8,1.9,1.7,10593887,2393887,0,0,0,0,0
Alfonzo McKinnie,SF,26,Golden State Warriors,72,1003,11.2,0.569,0.429,0.175,9.0,16.9,13.1,4.0,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-0.9,-1.5,-2.5,-0.1,1349383,1349383,1588231,0,0,0,0
Ben McLemore,SG,25,Sacramento Kings,19,158,10.5,0.541,0.6409999999999999,0.188,1.9,9.4,5.5,3.4,1.8,1.6,6.7,19.4,0.1,0.1,0.2,0.055,-1.1,-2.6,-3.7,-0.1,5460000,5460000,0,0,0,0,0
Jordan McRae,SG,27,Washington Wizards,27,333,14.3,0.55,0.26899999999999996,0.26899999999999996,1.9,11.3,6.5,13.2,1.8,1.8,9.4,20.4,0.3,0.2,0.5,0.066,-1.9,-1.8,-3.7,-0.1,17092,17092,1645357,0,0,0,0
Jodie Meeks,SG,31,Toronto Raptors,8,104,16.0,0.647,0.462,0.026000000000000002,1.1,11.1,6.2,11.5,0.5,0.8,4.8,17.1,0.2,0.1,0.3,0.153,1.4,-2.2,-0.8,0.0,319677,319677,0,0,0,0,0
Salah Mejri,C,32,Dallas Mavericks,36,399,16.1,0.5589999999999999,0.304,0.28600000000000003,9.7,25.3,17.6,13.2,1.2,5.5,14.3,15.8,0.5,0.6,1.1,0.136,-1.6,3.5,1.9,0.4,1567007,1567007,0,0,0,0,0
De'Anthony Melton,PG,20,Phoenix Suns,50,984,9.9,0.466,0.371,0.109,2.8,12.5,7.5,22.3,3.3,1.9,21.8,15.0,-0.8,0.8,0.0,0.002,-3.5,1.0,-2.6,-0.1,949000,949000,1416852,0,0,0,0
Chimezie Metu,PF,21,San Antonio Spurs,29,145,6.4,0.389,0.034,0.293,6.8,20.1,13.5,12.0,2.0,1.2,18.6,24.4,-0.5,0.2,-0.3,-0.099,-9.0,-0.2,-9.2,-0.3,2255316,838464,1416852,1663861,0,0,0
Khris Middleton,SF,27,Milwaukee Bucks,77,2393,16.5,0.5579999999999999,0.413,0.225,2.3,16.5,9.8,20.1,1.6,0.2,12.1,25.1,2.5,3.6,6.1,0.12300000000000001,0.7,0.1,0.8,1.7,150103448,13000000,0,0,0,0,0
C.J. Miles,SF,31,Memphis Grizzlies,13,294,10.8,0.544,0.629,0.133,0.4,10.1,5.2,7.4,1.4,1.6,7.5,18.3,0.1,0.3,0.3,0.054000000000000006,-1.4,-1.5,-2.9,-0.1,8333333,8333333,8730158,0,0,0,0
Darius Miller,SF,28,New Orleans Pelicans,69,1757,8.4,0.55,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-0.1,-1.5,-1.7,0.1,9055000,2205000,0,0,0,0,0
Malcolm Miller,SF,25,Toronto Raptors,10,67,13.7,0.63,0.8079999999999999,0.154,1.7,6.3,4.0,2.1,0.7,1.2,3.5,18.5,0.1,0.1,0.2,0.13,1.8,-3.8,-2.0,0.0,457418,457418,1588231,0,0,0,0
Patty Mills,PG,30,San Antonio Spurs,82,1908,13.2,0.5720000000000001,0.609,0.155,1.4,8.9,5.2,17.6,1.3,0.4,11.6,18.5,2.2,1.2,3.5,0.087,1.5,-2.0,-0.5,0.7,37285714,11571429,12428571,13285714,0,0,0
Paul Millsap,PF,33,Denver Nuggets,70,1895,17.9,0.57,0.239,0.374,8.7,20.2,14.4,10.6,2.2,2.5,10.9,19.6,3.2,2.9,6.1,0.155,0.5,1.9,2.4,2.1,60230769,29730769,30500000,0,0,0,0
Nikola Mirotić,PF,27,Milwaukee Bucks,14,320,16.2,0.562,0.644,0.17,4.7,18.3,11.9,8.6,1.5,2.4,7.0,20.4,0.4,0.6,1.0,0.147,0.7,0.2,0.9,0.2,12500000,12500000,0,0,0,0,0
Donovan Mitchell,SG,22,Utah Jazz,77,2598,17.2,0.537,0.33899999999999997,0.259,2.5,10.5,6.6,21.2,2.0,0.9,11.3,31.6,1.3,3.7,5.0,0.092,0.8,-0.2,0.6,1.7,6747240,3111480,3635760,5195501,0,0,0
Malik Monk,SG,20,Charlotte Hornets,73,1258,11.8,0.518,0.563,0.174,1.3,10.6,5.9,14.3,1.4,1.3,12.0,24.6,-0.4,0.7,0.3,0.012,-1.1,-2.7,-3.9,-0.6,7475880,3447480,4028400,5345687,0,0,0
Greg Monroe,C,28,Boston Celtics,2,5,60.2,0.6,0.0,0.0,63.9,0.0,32.0,73.4,0.0,0.0,0.0,43.1,0.1,0.0,0.1,0.534,38.2,6.8,44.9,0.1,122344,122344,0,0,0,0,0
Greg Monroe,C,28,Philadelphia 76ers,3,52,31.7,0.736,0.043,0.478,8.4,17.8,13.2,23.5,0.9,0.0,3.5,23.2,0.4,0.0,0.4,0.37,7.7,-2.0,5.7,0.1,59820,59820,0,0,0,0,0
E'Twaun Moore,SG,29,New Orleans Pelicans,53,1463,11.5,0.5670000000000001,0.331,0.111,2.5,6.4,4.5,9.5,1.3,0.4,9.6,17.3,1.2,0.5,1.7,0.055,-0.2,-1.9,-2.2,-0.1,17473613,8808685,8664928,0,0,0,0
Eric Moreland,PF,27,Toronto Raptors,4,38,7.1,0.5,0.14300000000000002,0.0,11.7,35.9,24.1,13.3,1.3,2.2,41.7,13.6,-0.1,0.1,0.0,0.026000000000000002,-6.6,3.5,-3.1,0.0,106237,106237,0,0,0,0,0
Marcus Morris,PF,29,Boston Celtics,75,2091,14.2,0.568,0.461,0.205,3.9,19.5,11.7,7.5,1.0,1.1,9.1,20.9,2.1,2.5,4.5,0.10400000000000001,-0.4,-1.0,-1.4,0.3,5375000,5375000,0,0,0,0,0
Markieff Morris,PF,29,Oklahoma City Thunder,24,387,10.4,0.475,0.37799999999999995,0.122,5.2,19.6,12.1,6.8,1.3,0.4,4.1,18.0,0.2,0.5,0.7,0.083,-3.1,-1.4,-4.5,-0.2,573295,573295,0,0,0,0,0
Monte Morris,PG,23,Denver Nuggets,82,1970,16.2,0.5770000000000001,0.32299999999999995,0.115,1.9,8.8,5.3,21.7,1.8,0.2,6.6,17.1,4.4,1.8,6.2,0.151,1.5,-1.3,0.2,1.1,2937614,1349383,1588231,1663861,0,0,0
Donatas Motiejūnas,PF,28,San Antonio Spurs,3,13,-0.5,0.436,0.0,0.33299999999999996,16.9,8.3,12.6,11.9,0.0,6.5,30.4,33.5,-0.1,0.0,-0.1,-0.24600000000000002,-11.2,-0.3,-11.5,0.0,59820,59820,0,0,0,0,0
Emmanuel Mudiay,PG,22,New York Knicks,59,1607,14.6,0.531,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1.0,14.6,25.6,0.1,0.7,0.8,0.023,-0.5,-1.9,-2.4,-0.2,4294480,4294480,0,0,0,0,0
Jamal Murray,PG,21,Denver Nuggets,75,2447,16.0,0.5379999999999999,0.353,0.19,2.9,11.2,7.0,22.4,1.3,1.0,11.1,24.9,2.8,2.3,5.1,0.1,1.1,-1.0,0.1,1.3,7944546,3499800,4444746,0,0,0,0
Džanan Musa,SG,19,Brooklyn Nets,9,39,5.8,0.415,0.455,0.091,2.7,10.7,6.7,8.6,2.4,0.0,14.9,29.0,-0.2,0.0,-0.1,-0.152,-7.6,-2.8,-10.4,-0.1,3543840,1632240,1911600,2002800,3615054,0,0
Mike Muscala,PF,27,Los Angeles Lakers,17,265,12.5,0.578,0.687,0.096,2.4,14.5,8.6,7.1,0.7,3.4,5.5,14.3,0.3,0.3,0.6,0.107,-0.6,0.0,-0.6,0.1,5000000,5000000,0,0,0,0,0
Sviatoslav Mykhailiuk,SF,21,Detroit Pistons,3,20,9.8,0.375,0.5,0.0,5.3,5.7,5.5,28.5,2.5,0.0,11.1,19.4,0.0,0.0,0.0,0.016,-2.7,-2.0,-4.7,0.0,2904546,1487694,1416852,1663861,0,0,0
Abdel Nader,SF,25,Oklahoma City Thunder,61,694,8.8,0.522,0.465,0.16699999999999998,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.062,-4.2,-0.9,-5.1,-0.5,2996762,1378242,1618520,1752950,0,0,0
Larry Nance,C,26,Cleveland Cavaliers,67,1795,18.6,0.583,0.205,0.28,10.0,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,0.131,1.4,2.6,4.0,2.7,47072391,2272391,12727273,11709091,10690909,9672727,0
Shabazz Napier,PG,27,Brooklyn Nets,56,983,15.3,0.534,0.524,0.317,1.9,8.7,5.3,22.2,2.0,1.3,11.7,24.0,1.0,1.0,2.0,0.098,0.5,-1.1,-0.7,0.3,1942422,1942422,1845301,0,0,0,0
